date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
02-11-2023,70.51270,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-11-02,70.5127
01-11-2023,69.88430,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-11-01,69.8843
31-10-2023,70.10220,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-31,70.1022
30-10-2023,70.20940,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-30,70.2094
27-10-2023,70.03430,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-27,70.0343
26-10-2023,69.21510,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-26,69.2151
25-10-2023,70.01110,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-25,70.0111
23-10-2023,70.51590,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-23,70.5159
20-10-2023,71.70260,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-20,71.7026
19-10-2023,72.21820,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-19,72.2182
18-10-2023,72.39490,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-18,72.3949
17-10-2023,73.02380,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-17,73.0238
16-10-2023,72.72530,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-16,72.7253
13-10-2023,72.60090,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-13,72.6009
12-10-2023,72.82060,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-12,72.8206
11-10-2023,72.63580,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-11,72.6358
10-10-2023,72.25010,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-10,72.2501
09-10-2023,71.52300,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2023-10-09,71.523
